Path from 6 to 5: No path, Cost: inf
Path from 6 to 7: 6-7, Cost: 109
Path from 6 to 8: No path, Cost: inf
Path from 6 to 9: No path, Cost: inf
Path from 6 to 10: No path, Cost: inf
Path from 6 to 11: No path, Cost: inf
Path from 6 to 12: 6-12, Cost: 358
Path from 6 to 13: 6-7-13, Cost: 574
Path from 6 to 14: 6-14, Cost: 319
Path from 6 to 15: No path, Cost: inf
Path from 6 to 16: 6-16, Cost: 456
Path from 6 to 17: 6-16-17, Cost: 743
Path from 6 to 18: 6-18, Cost: 153
Path from 6 to 19: No path, Cost: inf
Path from 6 to 20: No path, Cost: inf
Path from 6 to 21: 6-21, Cost: 465
Path from 6 to 22: 6-12-22, Cost: 800
Path from 6 to 23: 6-7-23, Cost: 345
Path from 6 to 24: 6-16-17-24, Cost: 1135
Path from 7 to 0: No path, Cost: inf
Path from 7 to 1: No path, Cost: inf
Path from 7 to 2: No path, Cost: inf
Path from 7 to 3: No path, Cost: inf
Path from 7 to 4: No path, Cost: inf
Path from 7 to 5: No path, Cost: inf
Path from 7 to 6: No path, Cost: inf
Path from 7 to 8: No path, Cost: inf
Path from 7 to 9: No path, Cost: inf
Path from 7 to 10: No path, Cost: inf
Path from 7 to 11: No path, Cost: inf
Path from 7 to 12: 7-12, Cost: 440
Path from 7 to 13: 7-13, Cost: 465
Path from 7 to 14: 7-14, Cost: 210
Path from 7 to 15: No path, Cost: inf
Path from 7 to 16: No path, Cost: inf
Path from 7 to 17: No path, Cost: inf
Path from 7 to 18: 7-14-18, Cost: 661
Path from 7 to 19: No path, Cost: inf
Path from 7 to 20: No path, Cost: inf
Path from 7 to 21: 7-13-21, Cost: 635
Path from 7 to 22: 7-12-22, Cost: 882
Path from 7 to 23: 7-23, Cost: 236
Path from 7 to 24: No path, Cost: inf
Path from 8 to 0: No path, Cost: inf
Path from 8 to 1: No path, Cost: inf
Path from 8 to 2: No path, Cost: inf
Path from 8 to 3: No path, Cost: inf
Path from 8 to 4: No path, Cost: inf
Path from 8 to 5: No path, Cost: inf
Path from 8 to 6: No path, Cost: inf
Path from 8 to 7: No path, Cost: inf
Path from 8 to 9: 8-9, Cost: 106
Path from 8 to 10: No path, Cost: inf
Path from 8 to 11: No path, Cost: inf
Path from 8 to 12: No path, Cost: inf
Path from 8 to 13: No path, Cost: inf
Path from 8 to 14: No path, Cost: inf
Path from 8 to 15: No path, Cost: inf
Path from 8 to 16: No path, Cost: inf
Path from 8 to 17: No path, Cost: inf
Path from 8 to 18: No path, Cost: inf
Path from 8 to 19: No path, Cost: inf
Path from 8 to 20: No path, Cost: inf
Path from 8 to 21: No path, Cost: inf
Path from 8 to 22: No path, Cost: inf
Path from 8 to 23: No path, Cost: inf
Path from 8 to 24: No path, Cost: inf
Path from 9 to 0: No path, Cost: inf
Path from 9 to 1: No path, Cost: inf
Path from 9 to 2: No path, Cost: inf
Path from 9 to 3: No path, Cost: inf
Path from 9 to 4: No path, Cost: inf
Path from 9 to 5: No path, Cost: inf
Path from 9 to 6: No path, Cost: inf
Path from 9 to 7: No path, Cost: inf
Path from 9 to 8: No path, Cost: inf
Path from 9 to 10: No path, Cost: inf
Path from 9 to 11: No path, Cost: inf
Path from 9 to 12: No path, Cost: inf
Path from 9 to 13: No path, Cost: inf
Path from 9 to 14: No path, Cost: inf
Path from 9 to 15: No path, Cost: inf
Path from 9 to 16: No path, Cost: inf
Path from 9 to 17: No path, Cost: inf
Path from 9 to 18: No path, Cost: inf
Path from 9 to 19: No path, Cost: inf
Path from 9 to 20: No path, Cost: inf
Path from 9 to 21: No path, Cost: inf
Path from 9 to 22: No path, Cost: inf
Path from 9 to 23: No path, Cost: inf
Path from 9 to 24: No path, Cost: inf
Path from 10 to 0: No path, Cost: inf
Path from 10 to 1: No path, Cost: inf
Path from 10 to 2: No path, Cost: inf
Path from 10 to 3: No path, Cost: inf
Path from 10 to 4: No path, Cost: inf
Path from 10 to 5: No path, Cost: inf
Path from 10 to 6: No path, Cost: inf
Path from 10 to 7: No path, Cost: inf
Path from 10 to 8: No path, Cost: inf
Path from 10 to 9: No path, Cost: inf
Path from 10 to 11: No path, Cost: inf
Path from 10 to 12: No path, Cost: inf
Path from 10 to 13: No path, Cost: inf
Path from 10 to 14: No path, Cost: inf
Path from 10 to 15: No path, Cost: inf
Path from 10 to 16: 10-16, Cost: 285
Path from 10 to 17: 10-16-17, Cost: 572
Path from 10 to 18: No path, Cost: inf
Path from 10 to 19: No path, Cost: inf
Path from 10 to 20: No path, Cost: inf
Path from 10 to 21: No path, Cost: inf
Path from 10 to 22: No path, Cost: inf
Path from 10 to 23: 10-16-23, Cost: 610
Path from 10 to 24: 10-16-17-24, Cost: 964
Path from 11 to 0: No path, Cost: inf
Path from 11 to 1: No path, Cost: inf
Path from 11 to 2: No path, Cost: inf
Path from 11 to 3: No path, Cost: inf
Path from 11 to 4: No path, Cost: inf
Path from 11 to 5: No path, Cost: inf
Path from 11 to 6: No path, Cost: inf
Path from 11 to 7: No path, Cost: inf
Path from 11 to 8: No path, Cost: inf
Path from 11 to 9: No path, Cost: inf
Path from 11 to 10: No path, Cost: inf
Path from 11 to 12: No path, Cost: inf
Path from 11 to 13: 11-13, Cost: 371
Path from 11 to 14: No path, Cost: inf
Path from 11 to 15: No path, Cost: inf
Path from 11 to 16: No path, Cost: inf
Path from 11 to 17: No path, Cost: inf
Path from 11 to 18: No path, Cost: inf
Path from 11 to 19: 11-19, Cost: 53
Path from 11 to 20: No path, Cost: inf
Path from 11 to 21: 11-13-21, Cost: 541
Path from 11 to 22: 11-19-22, Cost: 199
Path from 11 to 23: No path, Cost: inf
Path from 11 to 24: No path, Cost: inf
Path from 12 to 0: No path, Cost: inf
Path from 12 to 1: No path, Cost: inf
Path from 12 to 2: No path, Cost: inf
Path from 12 to 3: No path, Cost: inf
Path from 12 to 4: No path, Cost: inf
Path from 12 to 5: No path, Cost: inf
Path from 12 to 6: No path, Cost: inf
Path from 12 to 7: No path, Cost: inf
Path from 12 to 8: No path, Cost: inf
Path from 12 to 9: No path, Cost: inf
Path from 12 to 10: No path, Cost: inf
Path from 12 to 11: No path, Cost: inf
Path from 12 to 13: 12-13, Cost: 243
Path from 12 to 14: No path, Cost: inf
Path from 12 to 15: No path, Cost: inf
Path from 12 to 16: No path, Cost: inf
Path from 12 to 17: No path, Cost: inf
Path from 12 to 18: 12-18, Cost: 364
Path from 12 to 19: No path, Cost: inf
Path from 12 to 20: No path, Cost: inf
Path from 12 to 21: 12-21, Cost: 395
Path from 12 to 22: 12-22, Cost: 442
Path from 12 to 23: No path, Cost: inf
Path from 12 to 24: No path, Cost: inf
Path from 13 to 0: No path, Cost: inf
Path from 13 to 1: No path, Cost: inf
Path from 13 to 2: No path, Cost: inf
Path from 13 to 3: No path, Cost: inf
Path from 13 to 4: No path, Cost: inf
Path from 13 to 5: No path, Cost: inf
Path from 13 to 6: No path, Cost: inf
Path from 13 to 7: No path, Cost: inf
Path from 13 to 8: No path, Cost: inf
Path from 13 to 9: No path, Cost: inf
Path from 13 to 10: No path, Cost: inf
Path from 13 to 11: No path, Cost: inf
Path from 13 to 12: No path, Cost: inf
Path from 13 to 14: No path, Cost: inf
Path from 13 to 15: No path, Cost: inf
Path from 13 to 16: No path, Cost: inf
Path from 13 to 17: No path, Cost: inf
Path from 13 to 18: No path, Cost: inf
Path from 13 to 19: No path, Cost: inf
Path from 13 to 20: No path, Cost: inf
Path from 13 to 21: 13-21, Cost: 170
Path from 13 to 22: No path, Cost: inf
Path from 13 to 23: No path, Cost: inf
Path from 13 to 24: No path, Cost: inf
Path from 14 to 0: No path, Cost: inf
Path from 14 to 1: No path, Cost: inf
Path from 14 to 2: No path, Cost: inf
Path from 14 to 3: No path, Cost: inf
Path from 14 to 4: No path, Cost: inf
Path from 14 to 5: No path, Cost: inf
Path from 14 to 6: No path, Cost: inf
Path from 14 to 7: No path, Cost: inf
Path from 14 to 8: No path, Cost: inf
Path from 14 to 9: No path, Cost: inf
Path from 14 to 10: No path, Cost: inf
Path from 14 to 11: No path, Cost: inf
Path from 14 to 12: No path, Cost: inf
